[INFO ] [2021-01-24 00:48:13,289] Pre-condition - Step 01: Enter To 'Email' Textbox at 'Login' Page
[INFO ] [2021-01-24 00:48:43,196] Search Customer [FirstName and LastName] - Step 03: Enter to 'Lastname' Textbox in 'Search' section
[INFO ] [2021-01-24 00:48:43,876] Search Customer [FirstName and LastName] - Step 04: Click to 'X' Button at 'Customer roles' Textbox
[INFO ] [2021-01-24 00:48:43,965] Search Customer [FirstName and LastName] - Step 05: Select 'Customer roles' Dropdown
[INFO ] [2021-01-24 00:48:44,798] Search Customer [FirstName and LastName] - Step 06: Click to 'Search' Button
[INFO ] [2021-01-24 00:48:45,466] Search Customer [FirstName and LastName] - Step 07: Verify Infomation Customer is displayed in table
[INFO ] [2021-01-24 00:48:45,547]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:45,551] Search Customer [Company] - Step 01: Refresh Current Page
[INFO ] [2021-01-24 00:48:47,081] Search Customer [Company] - Step 02: Enter to 'Company' Textbox in 'Search' section
[INFO ] [2021-01-24 00:48:47,804] Search Customer [Company] - Step 03: Click to 'X' Button at 'Customer roles' Textbox
[INFO ] [2021-01-24 00:48:47,919] Search Customer [Company] - Step 04: Select 'Customer roles' Dropdown
[INFO ] [2021-01-24 00:48:48,679] Search Customer [Company] - Step 05: Click to 'Search' Button
[INFO ] [2021-01-24 00:48:49,425] Search Customer [Company] - Step 06: Verify Infomation Customer is displayed in table
[INFO ] [2021-01-24 00:48:49,489]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:49,492] Search Customer [Full Data] - Step 01: Refresh Current Page
[INFO ] [2021-01-24 00:48:51,041] Search Customer [Full Data] - Step 02: Enter to 'Email' Textbox in 'Search' section
[INFO ] [2021-01-24 00:48:51,733] Search Customer [Full Data] - Step 03: Enter to 'Firstname' Textbox in 'Search' section
[INFO ] [2021-01-24 00:48:52,422] Search Customer [Full Data] - Step 04: Enter to 'Lastname' Textbox in 'Search' section
[INFO ] [2021-01-24 00:48:53,116] Search Customer [Full Data] - Step 05: Select 'Month' Dropdown with value ''
[INFO ] [2021-01-24 00:48:53,239] Search Customer [Full Data] - Step 06: Select 'Day' Dropdown with value ''
[INFO ] [2021-01-24 00:48:53,339] Search Customer [Full Data] - Step 07: Enter to 'Company' Textbox in 'Search' section
[INFO ] [2021-01-24 00:48:54,062] Search Customer [Full Data] - Step 08: Click to 'X' Button at 'Customer roles' Textbox
[INFO ] [2021-01-24 00:48:54,155] Search Customer [Full Data] - Step 09: Select 'Customer roles' Dropdown
[INFO ] [2021-01-24 00:48:54,934] Search Customer [Full Data] - Step 10: Click to 'Search' Button
[INFO ] [2021-01-24 00:48:55,570] Search Customer [Full Data] - Step 11: Verify Infomation Customer is displayed in table
[INFO ] [2021-01-24 00:48:55,610]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:55,612] OS name = windows 10
[INFO ] [2021-01-24 00:48:56,596] ---------- QUIT BROWSER SUCCESS ----------
